Frequency_Hz,Run_01_ASD_V_per_rtHz,Run_02_ASD_V_per_rtHz,Run_03_ASD_V_per_rtHz,Run_04_ASD_V_per_rtHz,Run_05_ASD_V_per_rtHz,Run_06_ASD_V_per_rtHz,Run_07_ASD_V_per_rtHz,Run_08_ASD_V_per_rtHz,Run_09_ASD_V_per_rtHz,Run_10_ASD_V_per_rtHz,Run_11_ASD_V_per_rtHz,Run_12_ASD_V_per_rtHz,Run_13_ASD_V_per_rtHz,Run_14_ASD_V_per_rtHz,Run_15_ASD_V_per_rtHz,Run_16_ASD_V_per_rtHz,Run_17_ASD_V_per_rtHz,Run_18_ASD_V_per_rtHz,Run_19_ASD_V_per_rtHz,Run_20_ASD_V_per_rtHz
1,4.89785762144896e-06,6.31891903034408e-06,6.41753118774602e-06,7.29937248765357e-06,4.41464600790793e-06,7.24266286169647e-06,8.51819092362711e-06,7.89370164079166e-06,6.43592319897072e-06,7.82684690518073e-06,4.3628190865349e-06,3.91834813343576e-06,7.61231760513241e-06,8.99040849968567e-06,6.17398193043346e-06,1.61747246831644e-05,4.6065777282356e-06,5.01868136575678e-06,6.99952724188946e-06,6.1265818858404e-06
1.0594630943593,4.78917140903648e-06,8.20819101222744e-06,6.71303233770611e-06,6.95910976772149e-06,4.03072950896655e-06,6.37555933234111e-06,8.40718275691008e-06,6.24259518724979e-06,6.95918906636855e-06,6.90477119632341e-06,5.97056697689639e-06,4.69098547212366e-06,7.33561139820305e-06,8.98784527945642e-06,6.76851555296381e-06,1.57341174496446e-05,4.32615897301049e-06,4.88661349159765e-06,5.53422165984575e-06,6.19102427309732e-06
1.12246204830937,4.65706091845073e-06,9.99529572837967e-06,7.04726252518682e-06,6.53288125604555e-06,3.52187971988171e-06,5.16247680528092e-06,8.27367525089583e-06,3.36218656647227e-06,7.53248781624995e-06,5.61916796252096e-06,7.43906881230214e-06,5.46716379751607e-06,6.99346449212378e-06,8.98480612935604e-06,7.4117099385877e-06,1.51953250654673e-05,3.96819450259611e-06,4.72529436243597e-06,2.97632824679251e-06,6.26655007047696e-06
1.18920711500272,4.17913982507046e-06,9.40771562282057e-06,6.76354451954609e-06,5.4682277609397e-06,4.22986248006704e-06,5.11287143374484e-06,7.91296511282947e-06,3.95882247975841e-06,6.89336234649809e-06,6.3311647104401e-06,7.36231086726235e-06,5.99906111631926e-06,8.21448651965787e-06,8.48732147568012e-06,6.88782215930187e-06,1.6561388265901e-05,5.10752664688414e-06,6.05363001422174e-06,4.25719445851997e-06,5.71846020091808e-06
1.25992104989487,3.70826819079972e-06,8.85881305629576e-06,6.503805721954e-06,4.32026169178838e-06,4.76637068051363e-06,5.06884440799109e-06,7.58156572683267e-06,4.41743447232823e-06,6.2777309210731e-06,6.89685439032638e-06,7.29413795507971e-06,6.43058473066847e-06,9.15470680829075e-06,8.02435518614393e-06,6.39169515189989e-06,1.76757444275143e-05,5.93132807451884e-06,7.01701794287367e-06,5.12562542804827e-06,5.18880995360518e-06
1.33483985417003,5.26641914532311e-06,7.14034311110141e-06,8.79461744088276e-06,4.0995323729165e-06,4.75151189270194e-06,5.66197975903712e-06,7.23482494080401e-06,6.88987323283005e-06,4.43554740539852e-06,5.62265353965573e-06,5.02260899417622e-06,6.71662826686203e-06,6.81447777626368e-06,7.28395968199844e-06,5.37736071760519e-06,1.73379843248519e-05,5.09179690673923e-06,5.08473371865535e-06,5.92585230913908e-06,4.31568770970948e-06
1.4142135623731,5.45178659116002e-06,6.5097114507844e-06,9.14303579264419e-06,4.6103736400348e-06,4.55962594185692e-06,5.79259046220485e-06,7.16901933671686e-06,7.1297332097814e-06,4.1997119557362e-06,5.749918634581e-06,4.22879978473012e-06,6.39378294935758e-06,6.35408458790222e-06,6.68978410172945e-06,5.60959380730846e-06,1.68841222931789e-05,4.59967667805173e-06,4.53799787648669e-06,6.13261712808185e-06,4.60810357002977e-06
1.49830707687668,4.91959523316224e-06,6.06377145310274e-06,8.61452072327001e-06,6.20393153401875e-06,3.8290957991594e-06,5.75442828391071e-06,7.25670244877066e-06,6.13722947592756e-06,5.30228561347463e-06,7.23591840221896e-06,4.13921010617861e-06,4.76540737303264e-06,7.24493990609426e-06,5.07930487770868e-06,7.14482686613354e-06,1.55322943338947e-05,3.56607675791335e-06,4.79964634642439e-06,6.20062296103365e-06,6.14589557464551e-06
1.5874010519682,6.67983955556979e-06,5.88778291418274e-06,8.30381742326438e-06,5.00094703415565e-06,5.59924612299977e-06,5.26804612315887e-06,4.98170647627901e-06,5.81952242071361e-06,6.14522807466657e-06,5.63003394617571e-06,4.34527404924742e-06,4.68536011138681e-06,5.35947775427082e-06,4.51258626023574e-06,7.60321239663748e-06,1.08302004868992e-05,4.79893755800319e-06,4.05171821649011e-06,7.4284718359156e-06,5.9043289299614e-06
1.68179283050743,6.38535789029011e-06,5.8515394700414e-06,7.68513891967518e-06,4.86274483575157e-06,7.95789177093726e-06,4.89259750643082e-06,3.82227738696139e-06,6.61862154319836e-06,5.70632036923544e-06,5.03413182686054e-06,5.20259830650454e-06,4.26903673788542e-06,4.31436828352145e-06,5.19043677964662e-06,7.50499847668448e-06,1.19723676738109e-05,4.39094467397599e-06,3.72213195283471e-06,6.52606692191008e-06,5.03978217334904e-06
