Frequency_Hz,wiShield_ASD_V_per_rtHz,woShield_ASD_V_per_rtHz,wiShield_vs_woShield_dB
1,7.57798794892107e-06,7.32706505203086e-06,0.292477258610746
1.0594630943593,7.0846634592047e-06,7.2236689655908e-06,-0.168772214505557
1.12246204830937,6.45124816226547e-06,7.09916276349579e-06,-0.831267701115559
1.18920711500272,6.1119311145622e-06,7.26816396546142e-06,-1.50492530716028
1.25992104989487,5.79712514897561e-06,7.41361013490354e-06,-2.13634135308367
1.33483985417003,5.71689240929555e-06,7.01243092865898e-06,-1.77417155183967
1.4142135623731,5.72502973516967e-06,6.87475941663172e-06,-1.5895951572845
1.49830707687668,5.82460106951805e-06,6.76257570364778e-06,-1.29691908457012
1.5874010519682,6.12352392494784e-06,6.1441490751971e-06,-0.0292065084595916
1.68179283050743,6.27979375237648e-06,6.13571249491918e-06,0.201607580300983
1.78179743628068,6.4249651027592e-06,6.32962845064501e-06,0.12985110936439
1.88774862536339,6.57129583912482e-06,6.25378023996388e-06,0.430168072267273
2,5.35326665468206e-06,6.20821526440645e-06,-1.28695780946096
2.11892618871859,5.70658901110495e-06,6.00807075515966e-06,-0.44716885632181
2.24492409661875,5.72882614270691e-06,5.73367913669791e-06,-0.00735486208488667
2.37841423000544,5.38213496253484e-06,5.46346903269953e-06,-0.130278037356308
2.51984209978975,5.70396778372294e-06,5.64346073628651e-06,0.0926311219339846
2.66967970834007,5.72093291241156e-06,5.70756849454311e-06,0.0203144589937277
2.82842712474619,5.59496579519245e-06,5.62823798742618e-06,-0.0515003455359224
2.99661415375336,5.28627248364859e-06,5.62881647995716e-06,-0.54535087986484
3.1748021039364,5.56373225718266e-06,5.91545487036152e-06,-0.532438462149684
3.36358566101486,5.21276757399506e-06,5.61711591724585e-06,-0.648900502980611
3.56359487256136,5.22525469840413e-06,5.19984640324975e-06,0.0423389821219898
3.77549725072677,5.25782845562141e-06,5.56880038708232e-06,-0.499104768684714
4,5.4658022893803e-06,5.55205274378045e-06,-0.135993299910201
4.23785237743718,4.99031901210738e-06,5.40465519966084e-06,-0.692793664388632
4.48984819323749,5.05420331304357e-06,5.6836385647831e-06,-1.01947488575536
4.75682846001088,5.44037304428507e-06,5.60882782772373e-06,-0.264868573996063
5.03968419957949,5.51640506959375e-06,5.29740073578948e-06,0.351866427825927
5.33935941668014,5.26775895174255e-06,5.31983252457005e-06,-0.0854413309827538
5.65685424949238,5.04141302198199e-06,5.39765907849332e-06,-0.593063435627584
5.99322830750673,5.4589838269149e-06,5.25017229501177e-06,0.338765035049382
6.3496042078728,5.23753684830556e-06,5.50950749930508e-06,-0.439713742247461
6.72717132202972,5.63847251355304e-06,4.99373352641078e-06,1.05472207374392
7.12718974512272,5.28520109815426e-06,5.22361505434673e-06,0.101807034413997
7.55099450145355,5.13485154199402e-06,5.23048839819465e-06,-0.160287025139651
8,5.20994897546758e-06,4.8967884880555e-06,0.538442489612305
8.47570475487436,5.24399881389361e-06,5.15921612666276e-06,0.141577266798895
8.97969638647498,5.03224030346039e-06,5.3906545345984e-06,-0.597602576603499
9.51365692002177,5.18209041418399e-06,5.5896593979445e-06,-0.657607184324696
10.079368399159,5.19120556699774e-06,5.13854462985652e-06,0.0885618804290331
10.6787188333603,4.89978387149791e-06,5.38305398375177e-06,-0.817036226726028
11.3137084989848,5.22120536848402e-06,5.09527700815355e-06,0.212059523806782
11.9864566150135,5.26186301402399e-06,5.24399211456816e-06,0.0295501524098657
12.6992084157456,5.17829235782407e-06,4.93578708242938e-06,0.416602985864166
13.4543426440594,4.99944047106909e-06,5.13909504159311e-06,-0.239304959606606
