Frequency_Hz,wiShield_ASD_V_per_rtHz,woShield_ASD_V_per_rtHz,wiShield_vs_woShield_dB
1,7.30667957836379e-06,6.96798589040697e-06,0.412255998973755
1.0594630943593,6.94078449092267e-06,6.20062193178839e-06,0.979466156645313
1.12246204830937,5.52930151504835e-06,7.30600632060759e-06,-2.4201954151353
1.18920711500272,5.38405107599839e-06,6.27872827757284e-06,-1.33525034923443
1.25992104989487,5.88634110111249e-06,6.54018149817975e-06,-0.914887515151981
1.33483985417003,6.49229166787156e-06,7.46872393921207e-06,-1.2169676970722
1.4142135623731,6.1304416479125e-06,6.06465142917827e-06,0.0937183700795952
1.49830707687668,5.52887065205852e-06,6.11408031407454e-06,-0.873894190964975
1.5874010519682,6.52133454143555e-06,5.92536838450406e-06,0.832422479118543
1.68179283050743,6.05149176024722e-06,5.39225544181623e-06,1.00183977764431
1.78179743628068,5.45885186718693e-06,5.72004643374715e-06,-0.405964899010284
1.88774862536339,6.8171172814547e-06,5.43067225296453e-06,1.97494344431568
2,5.22316994072667e-06,6.20925891482846e-06,-1.50211226541329
2.11892618871859,5.40073543335452e-06,5.43186044486649e-06,-0.0499140117459131
2.24492409661875,6.06280711106899e-06,5.29299739187448e-06,1.1794414266283
2.37841423000544,4.780372169554e-06,5.09077251507511e-06,-0.546439627013924
2.51984209978975,5.38081644290165e-06,5.42253320473784e-06,-0.0670808595809891
2.66967970834007,5.56690343308161e-06,5.51150539086809e-06,0.0868690259135196
2.82842712474619,5.69365171596029e-06,5.44008966805959e-06,0.39569678830311
2.99661415375336,5.02646740673899e-06,5.10766275141488e-06,-0.139186863282141
3.1748021039364,5.82195680577325e-06,5.75522927567454e-06,0.100126987049335
3.36358566101486,5.11167218426898e-06,5.24789538753758e-06,-0.228443495399237
3.56359487256136,5.41783382020383e-06,5.49511439428093e-06,-0.12302115715072
3.77549725072677,5.40628001333634e-06,5.05135787996646e-06,0.589807944326217
4,5.47251696856053e-06,5.61212384459711e-06,-0.218802586583523
4.23785237743718,5.01743879296194e-06,5.10330426999445e-06,-0.147387587658484
